UNIQUE_ID,PRODUCT_NAME,COMPANY,PRODUCT_TYPE,PRODUCT_CATEGORY,COST_PRICE,SELLING_PRICE,QUANTITY_DEMANDED,PROFIT,PROFIT_PERCENT,NET_PROFIT
GSK01,A Masks,A,hygiene,mask,160,200,890,40,25,35600
GSK02,"N hand sanitizer,350 ml",N,hygiene,sanitizer,248,400,800,152,61.29032258,121600
GSK03,"G Channa Dal, 1kG",G,foodgrains&spices,pulses(dal),162,180,456,18,11.11111111,8208
GSK04,"I Organic Raisins,100g",I,Organic food,Dry Fruits,77.14,133,100,55.86,72.4137931,5586
GSK05,S Body oil,S,beauty products,bodycare,494.5,593.4,111,98.9,20,10977.9
GSK06,S AloeverS Gel,S,beauty products,bodycare,445.05,534.06,111,89.01,20,9880.11
GSK07,"S edible oil,1L",S,foodgrains&spices,edible oil,270,300,360,30,11.11111111,10800
GSK08,G Organic Flour 1kg,G,Organic food,Flour,56.84,98,52,41.16,72.4137931,2140.32
GSK09,"Z Organic Fennel,100 g",Z,Organic food,Whole Spices,56.84,98,27,41.16,72.4137931,1111.32
GSK10,A mosquitto repellent,A,household,repellents,171,225,353,54,31.57894737,19062
GSK11,"Z Dried Cranberries,100g",Z,Packed Food,Dry Fruits,125,143.75,500,18.75,15,9375
GSK12,"I chocolate flavour Cornflakes, 1kg",I,Packed Food,Dry Fruits,515,592.25,188,77.25,15,14523
GSK13,"E disinfectant spray,250 ml",E,hygiene,disinfectant,171.76,226,454,54.24,31.57894737,24624.96
GSK14,"N hair oil,1L",N,hygiene,haircare,450,500,400,50,11.11111111,20000
GSK15,A Body oil,A,beauty products,bodycare,516.26,619.512,119,103.252,20,12286.988
GSK16,"J Almonds,100g",J,Packed Food,Dry Fruits,70,80.5,544,10.5,15,5712
GSK17,"Z Organic Red chilly, 100 g",Z,Organic food,Whole Spices,32.48,56,22,23.52,72.4137931,517.44
GSK18,"Z Apricots,100g",Z,Packed Food,Dry Fruits,155,178.25,476,23.25,15,11067
GSK19,A mosquitto coil,A,household,repellents,95,125,353,30,31.57894737,10590
GSK20,"Z Organic Walnuts,100g",Z,Packed Food,Dry Fruits,217,249.55,426,32.55,15,13866.3
GSK21,"G Cumin, 100 g",G,foodgrains&spices,Whole Spices,38.94,59,541,20.06,51.51515152,10852.46
GSK22,"M disinfectant spray,250 ml",M,hygiene,disinfectant,172.52,227,452,54.48,31.57894737,24624.96
GSK23,B Kajal,B,beauty products,eye-makeup,203.82,244.584,292,40.764,20,11903.088
GSK24,"Z Organic Hazel Nuts,100g",Z,Organic food,Dry Fruits,354.84,611.8,52,256.96,72.41573667,13361.92
GSK25,"N strawberry flavour Oats, 1kg",N,Packed Food,Dry Fruits,367,422.05,306,55.05,15,16845.3
GSK26,"J Organic Raisins,100g",J,Packed Food,Dry Fruits,70,80.5,544,10.5,15,5712
GSK27,"G Cheese  Chiplets, 200 g (8 Cubes)",G,dairy products,cheese,181,211,441,30,16.57458564,13230
GSK28,"E hand sanitizer,350 ml",E,hygiene,sanitizer,195.3,315,897,119.7,61.29032258,107370.9
GSK29,"G Organic Peanut , 1 kg",G,Organic food,cereals,162.4,280,52,117.6,72.4137931,6115.2
GSK30,"Z Organic Almonds,100g",Z,Organic food,Dry Fruits,306.12,527.8,220,221.68,72.416046,48769.6
GSK31,"G Cardamom, 100 g",G,foodgrains&spices,Whole Spices,203.94,309,291,105.06,51.51515152,30572.46
GSK32,"T Red chilly, 100 g",T,foodgrains&spices,Whole Spices,16.5,25,575,8.5,51.51515152,4887.5
GSK33,"H Fruit Juice  Mango, 2x1.5 L Multipack",H,beverage,fruit juice,168.72,222,355,53.28,31.57894737,18914.4
GSK34,"Z Almonds,100g",Z,Packed Food,Dry Fruits,75,86.25,540,11.25,15,6075
GSK35,S perfume,S,beauty products,bodycare,602,722.4,20,120.4,20,2408
GSK36,B Lip balm,B,beauty products,bodycare,252.2,302.64,221,50.44,20,11147.24
GSK37,"T Matar Dal, 1kg",T,foodgrains&spices,pulses(dal),72,80,536,8,11.11111111,4288
GSK38,"S Bay Leaf, 100 g",S,foodgrains&spices,Whole Spices,19.8,30,570,10.2,51.51515152,5814
GSK39,"M disinfectant spray,250 ml",M,hygiene,disinfectant,172.52,227,452,54.48,31.57894737,24624.96
GSK40,"J Organic Figs,100g",J,Organic food,Dry Fruits,357.28,616,38,258.72,72.4137931,9831.36
GSK41,T Chakki attT 1kg,T,foodgrains&spices,grains,36,49.5,568,13.5,37.5,7668
GSK42,S room freshner,S,household,freshners,272.08,358,231,85.92,31.57894737,19847.52
GSK43,"G chocolate flavour Oats, 1kg",G,Packed Food,Dry Fruits,313,359.95,350,46.95,15,16432.5
GSK44,"G Organic Bay Leaf, 100 g",G,Organic food,Whole Spices,40.6,70,22,29.4,72.4137931,646.8
GSK45,C facewash,C,beauty products,bodycare,253.08,303.696,245,50.616,20,12400.92
GSK46,"Z Organic Ginger Candies,100g",Z,Packed Food,Dry Fruits,137,157.55,490,20.55,15,10069.5
GSK47,"J Organic Walnuts,100g",J,Packed Food,Dry Fruits,210,241.5,432,31.5,15,13608
GSK48,"N rice bran oil,1L",N,foodgrains&spices,edible oil,230.4,256,395,25.6,11.11111111,10112
GSK49,A orange lipstick,A,beauty products,lipstick,537.5,645,23,107.5,20,2472.5
GSK50,"Z Organic Bay Leaf, 100 g",Z,Organic food,Whole Spices,48.72,84,10,35.28,72.4137931,352.8
GSK51,"I Dates,100g",I,Packed Food,Dry Fruits,133,152.95,494,19.95,15,9855.3
GSK52,"C Quick Washer Gel,1L",C,household,detergent,268.28,353,350,84.72,31.57894737,29652
GSK53,"S Groundnut, 1kg",S,foodgrains&spices,cereals,225,250,400,25,11.11111111,10000
GSK54,"I Organic Walnuts,100g",I,Packed Food,Dry Fruits,215,247.25,428,32.25,15,13803
GSK55,"I Organic Figs,100g",I,Organic food,Dry Fruits,361.34,623,22,261.66,72.4137931,5756.52
GSK56,"Z Figs,100g",Z,Packed Food,Dry Fruits,185,212.75,452,27.75,15,12543
GSK57,"S Coriander, 100 g",S,foodgrains&spices,Powdered Spices,19.8,30,570,10.2,51.51515152,5814
GSK58,"N orange flavour Cornflakes, 1kg",N,Packed Food,Dry Fruits,527,606.05,178,79.05,15,14070.9
GSK59,"Z Organic Dates,100g",Z,Organic food,Dry Fruits,273.64,471.8,22,198.16,72.4163134,4359.52
GSK60,"Z Walnuts,100g",Z,Packed Food,Dry Fruits,185,212.75,452,27.75,15,12543
GSK61,"J Organic Figs,100g",J,Packed Food,Dry Fruits,220,253,424,33,15,13992
GSK62,"J Organic Walnuts,100g",J,Organic food,Dry Fruits,349.16,602,23,252.84,72.4137931,5815.32
GSK63,"G Fennel,100 g",G,foodgrains&spices,Whole Spices,32.34,49,551,16.66,51.51515152,9179.66
GSK64,"J chocolate flavour Oats, 1kg",J,Packed Food,Dry Fruits,310,356.5,352,46.5,15,16368
GSK65,B 3ply mask,B,hygiene,mask,12.8,16,1080,3.2,25,3456
GSK66,"A disinfectant spray,250 ml",A,hygiene,disinfectant,167.2,220,450,52.8,31.57894737,23760
GSK67,"C disinfectant spray,250 ml",C,hygiene,disinfectant,169.48,223,455,53.52,31.57894737,24351.6
GSK68,"S Peanut , 1 kg",S,foodgrains&spices,cereals,135,150,480,15,11.11111111,7200
GSK69,B perfume,B,beauty products,bodycare,602,722.4,20,120.4,20,2408
GSK70,"I Organic Raisins,100g",I,Packed Food,Dry Fruits,75,86.25,540,11.25,15,6075
GSK71,Z Organic Soyabean 1kg,Z,Organic food,cereals,292.32,504,22,211.68,72.4137931,4656.96
GSK72,A baby milk,A,baby product,babycare,500.8,626,100,125.2,25,12520
GSK73,"G Rice,1kG",G,foodgrains&spices,rice,63,66.15,644,3.15,5,2028.6
GSK74,G Barley 1kG,G,foodgrains&spices,grains,94.5,105,516,10.5,11.11111111,5418
GSK75,B baby diapers,B,baby product,babycare,536,670,300,134,25,40200
GSK76,S brown lipstick,S,beauty products,lipstick,516,619.2,20,103.2,20,2064
GSK77,"G Rajma, 1kG",G,foodgrains&spices,cereals,162,180,456,18,11.11111111,8208
GSK78,S PRO ACTIVE health drink  2x400 g Multipack,S,beverage,healthdrink,912,1200,20,288,31.57894737,5760
GSK79,G pet food,G,pet food,pet food,450,500,200,50,11.11111111,10000
GSK80,S orange nailpolish,S,beauty products,nailpolish,401.6,481.92,110,80.32,20,8835.2
GSK81,"T jowar, 1kg",T,foodgrains&spices,cereals,63,70,544,7,11.11111111,3808
GSK82,"I Organic Hazel Nuts,100g",I,Organic food,Dry Fruits,353.22,609,80,255.78,72.4137931,20462.4
GSK83,D Masks,D,hygiene,mask,280,350,600,70,25,42000
GSK84,A perfume,A,beauty products,bodycare,623.5,748.2,45,124.7,20,5611.5
GSK85,"G Bay Leaf, 100 g",G,foodgrains&spices,Whole Spices,25.74,39,561,13.26,51.51515152,7438.86
GSK86,T Flour 1kg,T,foodgrains&spices,Flour,45,50,560,5,11.11111111,2800
GSK87,A baby diapers,A,baby product,babycare,500.8,626,150,125.2,25,18780
GSK88,"Z Organic Cloves, 100 g",Z,Organic food,Whole Spices,97.44,168,90,70.56,72.4137931,6350.4
GSK89,A Eyeliner,A,beauty products,eye-makeup,219.56,263.472,212,43.912,20,9309.344
GSK90,"I Organic Cashew Nuts,100g",I,Organic food,Dry Fruits,312.62,539,22,226.38,72.4137931,4980.36
GSK91,S red nailpolish,S,beauty products,nailpolish,401.6,481.92,110,80.32,20,8835.2
GSK92,B sanitary napkins,B,beauty products,bodycare,86,103.2,120,17.2,20,2064
GSK93,"N chocolate flavour Oats, 1kg",N,Packed Food,Dry Fruits,317,364.55,346,47.55,15,16452.3
GSK94,"Z Dates,100g",Z,Packed Food,Dry Fruits,155,178.25,476,23.25,15,11067
GSK95,"G Corn flour,100g",G,foodgrains&spices,corn flour,19,36,150,17,89.47368421,2550
GSK96,B bodyspray,B,beauty products,bodycare,387,464.4,180,77.4,20,13932
GSK97,B Toothbrush,B,hygiene,oral care,180.12,237,342,56.88,31.57894737,19452.96
GSK98,"I strawberry flavour Oats, 1kg",I,Packed Food,Dry Fruits,365,419.75,308,54.75,15,16863
GSK99,"B Toothpaste, 100g",B,hygiene,oral care,117.8,155,333,37.2,31.57894737,12387.6
GSK100,"J Organic Hazel Nuts,100g",J,Packed Food,Dry Fruits,230,264.5,350,34.5,15,12075
GSK101,"I Organic Almonds,100g",I,Packed Food,Dry Fruits,155,178.25,476,23.25,15,11067
GSK102,G Chakki attG 1kG,G,foodgrains&spices,grains,45,47.25,560,2.25,5,1260
GSK103,"E Fruit juice apple Flavour, 2x1 L Multipack",E,beverage,fruit juice,278.16,366,223,87.84,31.57894737,19588.32
GSK104,"B disinfectant spray,250 ml",B,hygiene,disinfectant,171,225,454,54,31.57894737,24516
GSK105,"Z Organic Chola Dal, 1kg",Z,Organic food,pulses(dal),129.92,224,20,94.08,72.4137931,1881.6
GSK106,"Z Organic Ginger Candies,100g",Z,Organic food,Dry Fruits,273.64,471.8,20,198.16,72.4163134,3963.2
GSK107,"S Moong Dal, 1kg",S,foodgrains&spices,pulses(dal),63,70,544,7,11.11111111,3808
GSK108,"Z Organic Raisins,100g",Z,Organic food,Dry Fruits,73.08,126,52,52.92,72.4137931,2751.84
GSK109,"T Coriander, 100 g",T,foodgrains&spices,Powdered Spices,23.1,35,565,11.9,51.51515152,6723.5
GSK110,"I Organic Dried Cranberries,100g",I,Organic food,Dry Fruits,288.26,497,90,208.74,72.4137931,18786.6
GSK111,"A soft drink litchi flavour, 1L",A,beverage,soft drinks,72.2,95,302,22.8,31.57894737,6885.6
GSK112,"G Coriander, 100 g",G,foodgrains&spices,Powdered Spices,25.74,39,561,13.26,51.51515152,7438.86
GSK113,"Z Organic Matar Dal, 1kg",Z,Organic food,pulses(dal),81.2,140,22,58.8,72.4137931,1293.6
GSK114,"I Organic Walnuts,100g",I,Organic food,Dry Fruits,353.22,609,27,255.78,72.4137931,6906.06
GSK115,B mosquitto repellent,B,household,repellents,180.12,237,342,56.88,31.57894737,19452.96
GSK116,"G strawberry flavour Oats, 1kg",G,Packed Food,Dry Fruits,363,417.45,310,54.45,15,16879.5
GSK117,"D dishwash bar,100 g",D,household,dishwasher,49.4,65,423,15.6,31.57894737,6598.8
GSK118,"T Cardamom, 100 g",T,foodgrains&spices,Whole Spices,201.3,305,295,103.7,51.51515152,30591.5
GSK119,"B soft drink litchi flavour, 1L",B,beverage,soft drinks,117.8,155,222,37.2,31.57894737,8258.4
GSK120,"Z Organic Channa Dal, 1kg",Z,Organic food,pulses(dal),89.32,154,62,64.68,72.4137931,4010.16
GSK121,"T Turmeric, 100 g",T,foodgrains&spices,Powdered Spices,23.1,35,565,11.9,51.51515152,6723.5
GSK122,"G Organic Turmeric, 100 g",G,Organic food,Powdered Spices,40.6,70,26,29.4,72.4137931,764.4
GSK123,"Z Organic Dried Cranberries,100g",Z,Packed Food,Dry Fruits,157,180.55,474,23.55,15,11162.7
GSK124,"T ChannT Dal, 1kg",T,foodgrains&spices,pulses(dal),162,180,456,18,11.11111111,8208
GSK125,S mosquitto spray,S,household,repellents,218.88,288,311,69.12,31.57894737,21496.32
GSK126,"N sugar,1kg",N,foodgrains&spices,sugar&salt,66,69.3,300,3.3,5,990
GSK127,B Bodywash,B,beauty products,bodycare,203.68,244.416,321,40.736,20,13076.256
GSK128,A red lipstick,A,beauty products,lipstick,537.5,645,18,107.5,20,1935
GSK129,"B soft drink orange flavour, 1L",B,beverage,soft drinks,117.8,155,222,37.2,31.57894737,8258.4
GSK130,"T Kalonji,100 g",T,foodgrains&spices,Whole Spices,36.3,55,545,18.7,51.51515152,10191.5
GSK131,B Masks,B,hygiene,mask,200,250,800,50,25,40000
GSK132,B Eyeliner,B,beauty products,eye-makeup,252.2,302.64,221,50.44,20,11147.24
GSK133,"I Organic Ginger Candies,100g",I,Packed Food,Dry Fruits,135,155.25,492,20.25,15,9963
GSK134,"Z Organic Toor Dal, 1kg",Z,Organic food,pulses(dal),154.28,266,55,111.72,72.4137931,6144.6
GSK135,"G Organic Coriander, 100 g",G,Organic food,Powdered Spices,40.6,70,25,29.4,72.4137931,735
GSK136,B Hair oil,B,beauty products,haircare,450,540,101,90,20,9090
GSK137,"I Cashew Nuts,100g",I,Packed Food,Dry Fruits,153,175.95,478,22.95,15,10970.1
GSK138,A blue nailpolish,A,beauty products,nailpolish,404.9,485.88,111,80.98,20,8988.78
GSK139,B brown lipstick,B,beauty products,lipstick,576.2,691.44,10,115.24,20,1152.4
GSK140,A 3ply mask,A,hygiene,mask,12,15,1100,3,25,3300
GSK141,"A soft drink  coke, 1L",A,beverage,soft drinks,72.2,95,302,22.8,31.57894737,6885.6
GSK142,"J Walnuts,100g",J,Packed Food,Dry Fruits,180,207,456,27,15,12312
GSK143,T Soyabean 1kg,T,foodgrains&spices,cereals,216,240,408,24,11.11111111,9792
GSK144,S orange lipstick,S,beauty products,lipstick,516,619.2,14,103.2,20,1444.8
GSK145,S Moisturizer,S,beauty products,bodycare,553.84,664.608,81,110.768,20,8972.208
GSK146,"J Organic Raisins,100g",J,Organic food,Dry Fruits,77.14,133,52,55.86,72.4137931,2904.72
GSK147,"S Red chilly powder, 100 g",S,foodgrains&spices,Powdered Spices,33,50,200,17,51.51515152,3400
GSK148,"D disinfectant spray,250 ml",D,hygiene,disinfectant,171,225,454,54,31.57894737,24516
GSK149,B Body oil,B,beauty products,bodycare,548.9,658.68,91,109.78,20,9989.98
GSK150,A deodorant,A,beauty products,bodycare,279.5,335.4,201,55.9,20,11235.9
GSK151,"I Organic Dates,100g",I,Organic food,Dry Fruits,272.02,469,20,196.98,72.4137931,3939.6
GSK152,G Organic Barley 1kg,G,Organic food,grains,97.44,168,30,70.56,72.4137931,2116.8
GSK153,"G Organic Tamarind, 100 g",G,Organic food,Whole Spices,48.72,84,70,35.28,72.4137931,2469.6
GSK154,"G Organic Matar Dal, 1kg",G,Organic food,pulses(dal),73.08,126,125,52.92,72.4137931,6615
GSK155,S Soap,S,beauty products,bodycare,151.24,181.488,301,30.248,20,9104.648
GSK156,"S handwash, 750 ml",S,hygiene,handwash,196.08,258,551,61.92,31.57894737,34117.92
GSK157,G Soyabean 1kG,G,foodgrains&spices,cereals,225,250,400,25,11.11111111,10000
GSK158,"H Fruit Juice  Litchi, 3x1 L Multipack",H,beverage,fruit juice,243.96,321,255,77.04,31.57894737,19645.2
GSK159,A pink nailpolish,A,beauty products,nailpolish,404.9,485.88,111,80.98,20,8988.78
GSK160,A Aloevera Gel,A,beauty products,bodycare,447.03,536.436,110,89.406,20,9834.66
